,País,FELICIDAD,Ranking FELICIDAD,Viejo Indice Felicidad,Viejo Ranking Felicidad,AMOR,Ranking AMOR,Parejas Viviendo Juntas (%),SALUD,Ranking SALUD,Esperanza de Vida media (años),Gasto Médico Privado (%),DINERO,Ranking DINERO,PIB medio ($),Ingreso diario menor 5.5$ (%),Indice GINI,SOCIAL,Ranking SOCIAL,Nº Parados (%),Suicidios (por 100k),Asesinatos (por 100k),Indice Libertad,Indice Desarrollo,Percepción Corrupción,Consumo de Alcohol (litros),Continente,Religión
0,Netherlands,91.91,1,74.27,6,1.0,2,66.82,0.88,5,81.48,13.6,0.85,8,45640,0.3,28.11,0.95,2,5.54,8.22,0.78,1.0,0.93,83.17,9.75,Europa,Cristianismo
1,Luxembourg,83.96,6,69.7,14,0.64,16,60.07,0.89,3,82.11,15.6,1.0,1,106300,0.38,33.0,0.83,13,5.58,8.85,0.83,1.0,0.91,81.67,12.8,Europa,Cristianismo
2,Canada,81.12,9,73.35,8,1.0,1,66.89,0.66,16,82.12,29.5,0.74,16,43330,0.67,33.41,0.84,11,6.86,10.77,1.32,1.0,0.92,82.17,10.2,America,Cristianismo
3,Australia,78.98,10,72.55,10,0.84,8,63.79,0.66,17,82.69,32.0,0.78,15,56390,0.7,34.47,0.89,9,5.51,10.16,1.09,1.0,0.94,80.17,10.2,Oceania,Cristianismo
4,Germany,78.65,11,69.57,16,0.78,10,62.61,0.69,14,80.92,22.9,0.78,14,41060,0.2,31.3,0.91,7,4.74,8.58,0.5,1.0,0.94,79.83,12.1,Europa,Cristianismo
5,Japan,77.48,13,59.17,28,0.63,21,59.81,1.0,1,84.12,17.5,0.72,20,34680,0.85,32.74,0.75,15,3.57,17.45,0.3,1.15,0.91,74.0,7.79,Asia,Sintoismo
6,Spain,70.18,18,63.47,23,0.71,12,61.43,0.74,12,82.73,27.2,0.61,28,26010,2.8,35.46,0.74,17,20.49,5.58,0.63,1.0,0.89,59.5,11.8,Europa,Cristianismo
7,Israel,63.55,22,72.02,11,0.63,23,59.81,0.52,24,82.54,39.7,0.57,30,35830,3.34,40.01,0.83,12,5.66,5.03,2.06,1.75,0.91,61.33,2.52,Asia,Judaismo
8,United States,47.83,28,69.62,15,0.61,24,59.5,0.15,33,78.98,46.9,0.65,23,56350,1.71,41.02,0.5,26,6.23,10.15,6.46,1.15,0.92,74.17,9.7,America,Cristianismo
9,Turkey,42.77,29,54.12,33,0.63,18,59.81,0.41,27,77.38,24.8,0.36,33,10608,10.89,41.04,0.32,30,10.27,1.9,1.36,4.1,0.79,44.5,3.02,Europa,Islam
10,Mexico,22.89,34,66.57,19,0.63,19,59.81,0.24,30,75.54,27.09,0.0,35,9493,30.84,47.17,0.04,34,4.34,10.77,1.32,3.0,0.76,32.17,8.55,America,Cristianismo
11,Latvia,13.51,35,57.68,30,0.0,35,47.87,0.0,35,74.86,38.9,0.54,32,13540,5.25,35.09,0.0,35,11.54,17.34,5.8,1.9,0.85,54.67,13.4,Europa,Cristianismo
