,País,Indice Felicidad,Parejas Viviendo Juntas (%),PIB medio ($),Ingreso diario menor 5.5$ (%),Indice GINI,Esperanza de Vida media (años),Gasto Médico Privado (%),Nº Parados (%),Suicidios (por 100k),Asesinatos (por 100k),Indice Libertad,Indice Desarrollo,Percepción Corrupción,Consumo de Alcohol (litros)
0,Denmark,76.14,64.15,53640,0.4,28.08,80.63,14.9,6.59,8.52,0.65,1.0,0.93,90.33,12.0
1,Finland,75.55,,44100,0.14,27.26,81.36,24.9,8.16,15.52,1.73,1.0,0.93,88.67,13.1
2,Switzerland,75.49,64.15,84800,0.08,32.5,83.49,41.0,4.69,11.22,0.54,1.0,0.95,85.67,11.4
3,Norway,75.47,60.96,74100,0.35,26.81,82.16,16.1,3.74,9.95,0.86,1.0,0.95,85.83,8.35
4,Iceland,75.13,59.15,52890,0.16,26.53,83.47,19.3,4.68,11.12,0.48,1.0,0.93,78.83,7.38
5,Netherlands,74.49,66.82,45640,0.3,28.11,81.48,13.6,5.54,8.22,0.78,1.0,0.93,83.17,9.75
6,Canada,73.86,66.89,43330,0.67,33.41,82.12,29.5,6.86,,,1.0,0.92,82.17,10.2
7,Sweden,73.78,62.84,50830,0.91,28.77,82.41,18.9,7.47,10.38,0.88,1.0,0.93,87.5,9.5
8,Australia,72.93,63.79,56390,0.7,34.47,82.69,32.0,5.51,10.16,1.09,1.0,0.94,80.17,10.2
9,New Zealand,72.9,65.88,38120,,34.33,81.52,16.8,5.5,11.56,1.31,1.0,0.92,90.33,9.99
10,Austria,72.73,58.8,44780,0.87,30.57,81.55,22.5,5.18,11.08,0.51,1.0,0.91,72.67,12.4
11,Israel,72.25,,35830,3.34,40.01,82.54,39.7,5.66,5.03,2.06,1.75,0.91,61.33,2.52
12,Luxembourg,70.39,60.07,106300,0.38,33.0,82.11,15.6,5.58,8.85,0.83,1.0,0.91,81.67,12.8
13,United States,70.18,59.5,56350,1.71,41.02,78.98,46.9,6.23,10.15,6.46,1.15,0.92,74.17,9.7
14,Ireland,69.99,58.99,57410,0.88,32.26,81.48,30.8,10.65,10.72,0.83,1.0,0.93,72.83,14.9
15,Belgium,69.39,62.15,40970,0.31,27.69,80.94,25.3,7.46,14.61,1.11,1.0,0.92,75.83,10.4
16,United Kingdom,69.29,60.68,44980,0.64,34.23,80.98,16.1,5.95,6.27,0.29,1.0,0.92,78.67,13.2
17,Germany,69.17,62.61,41060,0.2,31.3,80.92,22.9,4.74,8.58,0.5,1.0,0.94,79.83,12.1
18,Mexico,67.64,,9493,30.84,47.17,75.54,,4.34,,,3.0,0.76,32.17,8.55
19,France,66.36,64.14,36920,0.2,32.59,82.43,22.1,9.45,12.6,0.61,1.2,0.89,70.0,12.5
20,Czech Republic,66.17,51.17,17850,0.48,25.77,78.79,16.3,5.02,11.17,0.73,1.0,0.89,52.67,16.5
21,Chile,65.45,,13240,6.82,45.13,79.55,51.8,7.0,,,1.05,0.83,69.83,8.81
22,Malta,64.27,61.79,23940,0.36,29.04,81.91,34.5,5.26,5.65,0.89,1.1,0.87,56.5,4.1
23,Spain,63.45,61.43,26010,2.8,35.46,82.73,27.2,20.49,5.58,0.63,1.0,0.89,59.5,11.8
24,Italy,61.2,58.39,31160,2.88,35.3,82.71,22.4,10.77,4.88,0.71,1.1,0.88,44.83,9.72
25,Slovak Republic,61.03,48.0,16100,2.54,26.09,76.83,34.1,11.1,8.95,0.95,1.1,0.85,49.17,13.3
26,Slovenia,60.29,52.2,21450,0.14,25.09,80.81,26.3,7.71,15.67,0.64,1.0,0.9,59.67,14.9
27,South Korea,60.16,,28510,1.1,31.49,82.18,41.0,3.34,22.82,1.1,1.85,0.9,54.5,19.1
28,Cyprus,60.06,65.14,25050,0.16,33.47,80.37,58.5,11.23,3.7,1.46,1.0,0.87,60.83,8.84
29,Japan,59.57,,34680,0.85,32.74,84.12,17.5,3.57,17.45,0.3,1.15,0.91,74.0,7.79
30,Poland,59.42,57.72,12610,2.28,31.84,77.46,27.4,7.43,13.12,0.89,1.3,0.86,60.67,14.4
31,Lithuania,58.38,56.17,14140,4.5,35.87,74.74,26.5,10.56,27.39,4.18,1.0,0.86,57.67,16.3
32,Estonia,56.79,53.93,17470,2.36,32.2,77.28,21.3,8.35,14.21,4.5,1.0,0.87,68.67,17.2
33,Latvia,56.17,47.87,13540,5.25,35.09,74.86,38.9,11.54,17.34,5.8,1.9,0.85,54.67,13.4
34,Romania,56.02,62.74,9096,20.5,35.87,75.04,21.9,6.06,9.53,1.59,2.0,0.81,45.33,16.1
35,Croatia,55.3,60.08,12290,4.89,31.31,77.89,15.1,13.14,12.53,1.06,1.5,0.84,48.5,15.0
36,Portugal,53.66,65.98,19730,2.67,35.14,81.2,31.9,11.49,6.9,0.96,1.0,0.85,62.83,13.9
37,Turkey,53.31,,10608,10.89,41.04,77.38,24.8,10.27,1.9,1.36,4.1,0.79,44.5,3.02
38,Greece,52.78,60.23,18700,5.13,34.84,80.83,40.6,21.55,3.15,1.11,1.85,0.87,42.83,11.0
39,Hungary,52.53,56.15,12700,2.91,30.23,75.86,30.6,7.43,16.83,1.17,2.05,0.84,51.17,16.1
40,Bulgaria,45.45,60.18,7132,9.83,38.21,73.07,45.5,9.05,7.96,1.33,2.0,0.8,41.67,11.4
